Date,Open,High,Low,Close,Adj Close,Volume
2023-09-04,150.29242271515065,152.92527475650212,150.69515653048373,151.54302486758303,151.54302486758303,8489866
2023-09-05,151.1317760155792,152.33642014617695,149.79048848194554,151.16988809984124,151.16988809984124,6366853
2023-09-06,153.06675029481266,155.3919798407245,152.711653099752,153.18679543206517,153.18679543206517,6014929
2023-09-07,158.8112845404293,159.56065865303222,157.09372578214774,157.97213536478063,157.97213536478063,6566847
2023-09-08,155.52408114465544,160.18378219197328,156.09711725535422,157.2812480421836,157.2812480421836,7420564
2023-09-09,156.7775874609769,157.77339842376014,156.6930427394119,156.59343371692694,156.59343371692694,7582569
2023-09-10,160.7326638943594,162.71311227750235,161.68099456030774,161.6667485396271,161.6667485396271,6480035
2023-09-11,164.4786291120665,165.21466398387955,162.57447070233025,164.2165203796699,164.2165203796699,5188456
2023-09-12,163.0351736765479,163.51208122878782,161.71038904541672,162.7306395125435,162.7306395125435,7653093
2023-09-13,164.48398309279253,163.8908379689107,163.89139535884615,164.55543699404907,164.55543699404907,8303457
2023-09-14,163.7445355927189,164.04829370892972,162.54560141038837,163.08624357676496,163.08624357676496,11200336
2023-09-15,160.6159733640671,161.08299129557696,161.05579304253277,161.62269369499455,161.62269369499455,9085412
2023-09-16,163.35522654634877,163.9598149788474,161.2268398844124,162.455450422883,162.455450422883,9422808
2023-09-17,155.84961434568916,156.5284193829936,154.96049496420247,156.40334385762756,156.40334385762756,10888997
2023-09-18,149.96920005188355,151.52717736580234,151.6680746531448,151.14503180696713,151.14503180696713,11944121
2023-09-19,149.2960418222494,150.04577197116274,147.39706870525058,149.49965734350678,149.49965734350678,11238795
2023-09-20,145.01054058675365,147.42138074209697,144.53679985555428,146.5457224508005,146.5457224508005,10768790
2023-09-21,147.7013733371584,148.5515655558701,148.20032500336032,147.5139024234614,147.5139024234614,9767348
2023-09-22,144.7147915318773,146.70265990406455,143.1015353956941,144.90262187613942,144.90262187613942,10283689
2023-09-23,141.77841161666046,141.48869026785508,139.17940739893083,140.90922229343704,140.90922229343704,10783893
2023-09-24,145.61530012618397,146.50882472862284,144.12802783806782,145.14436167463768,145.14436167463768,5716756
2023-09-25,143.5278371588378,147.51903916764653,144.4594766441771,144.53378968806624,144.53378968806624,5051226
2023-09-26,144.16567149066466,146.0591069193813,143.02425532543106,144.77254896119626,144.77254896119626,11790968
2023-09-27,141.1141106671864,141.6059153523031,139.93222876542427,140.747699071294,140.747699071294,8751198
2023-09-28,139.85521596091056,139.69768547435916,137.90831540657427,139.2653720933205,139.2653720933205,8621509
2023-09-29,140.46995402645567,140.4582035765072,137.09004531592785,139.61654724276752,139.61654724276752,8138145
2023-09-30,137.30902297428634,136.83084423331397,135.35302499433166,136.48024037828566,136.48024037828566,8897611
2023-10-01,137.4892994807295,138.69849819183383,137.21860439240825,137.55086904492336,137.55086904492336,6226476
2023-10-02,136.19567898369846,136.97119319143158,135.22573292326908,135.94916533794765,135.94916533794765,9184056
2023-10-03,136.07685765374353,134.68366138713665,134.78618582308115,135.19891745479325,135.19891745479325,5572212
2023-10-04,133.41910390569123,134.5447004012348,132.3967764432212,133.62174693841666,133.62174693841666,11627782
2023-10-05,138.96962983247883,140.42356299421036,138.29436701164548,138.70627780260563,138.70627780260563,9418441
2023-10-06,138.48373785759387,139.404614963166,138.06742078545554,138.71044675251474,138.71044675251474,6500844
2023-10-07,135.47347749341407,136.35516395725324,135.7692033309443,135.84770267162102,135.84770267162102,5929168
2023-10-08,138.17585970158024,138.15784185820445,137.26667653947894,138.1424395102003,138.1424395102003,8443609
2023-10-09,134.38714959912986,134.54192547301287,133.78759561386062,134.85072827479843,134.85072827479843,5363476
2023-10-10,135.367178608281,136.96709178243177,136.32600553166066,135.45584527703997,135.45584527703997,6400283
2023-10-11,129.61442863541862,131.08244063381954,129.20752502345601,130.28864295953994,130.28864295953994,10927613
2023-10-12,126.79076082589359,128.28959367143426,126.05194314391962,126.91132302111309,126.91132302111309,10753465
2023-10-13,127.73595291260536,129.31820493225413,127.04555614882048,127.45021571437748,127.45021571437748,5691757
2023-10-14,129.00446236329614,130.88702645400895,127.16727748812123,129.3853492420617,129.3853492420617,5390719
2023-10-15,129.8745491851372,130.42540982258728,128.33705642536097,129.8685156545921,129.8685156545921,6527937
2023-10-16,129.6976568598952,130.60848881331768,129.4106153750795,129.6073577330006,129.6073577330006,6149947
2023-10-17,129.15943862046726,129.37380529517785,127.4256687200945,128.8678526217401,128.8678526217401,11854453
